term,sentiment
khapr05281121,0
stern,0
httpstcozYYydU4O7W,0
YB,1
Stank,0
mempan,-1
KALAU,0
tmikaelson2,-1
dng,0
httptcoD9TeMSYPDw,0
Vikalp,1
Rizky,0
atkal,0
ikiseeh,0
Ayaaasptri,0
enfermita,0
MEMBER,0
dnt,0
JogjaUpdate,0
music,0
dnp,0
musim,0
musik,0
RihannaHer,1
Western,-1
Nasd1185,0
Ilingo,0
httptcoPDOPgnLuz9,0
speechess,-1
Pakaran,0
SarahDundarawy,0
mexer,0
Deutschland,0
yahoo,0
ojoooo,0
swaggg27,0
sepertinya,1.0
httptcoX55dKQg0St,0
yollari,0
hapit2,0
MasutangSy,0
Nurfarahaquila,0
locked,1
Videos,1.0
HazimShahHaz,0
ohwowserz,0
listenig,0
Bienvenido,0
rasullah,0
pengajiannya,0
menganjing,0
Moving,0
kartun,0
locket,0
Colombia,3.0
VivianaJ20,0
bandungampjogjaa,0
Lg,0
wana,-1
wang,0
httptconjz9szdcDb,0
La,0
wani,0
wann,-1
Ngapa,0
RafifahHU,0
Lw,0
Lu,0
httptcoXYBf1YBxhJ,0
pinto,0
girlymoe,0
absolute,3.0
kaibigan,1.0
LG,0
livereport,0
LE,0
LB,0
berbagai,0
LA,0
LO,0
LL,0
homuraya916,0
LK,0
lesalecita,0
LV,-1
LeeteukSJSMEnt,0
LT,0
LU,0
LR,0
LS,0
Promnite,0
92002202900966509118957,0
LZ,0
Teguh,0
nurInddahEpa,0
FLAGSTAFF,0
Gusta,0
meganne121,-1
Ntung,-1
zcloficial,0
Gusto,0
Batey,0
meilleures,0
Alahaiii,-1
tribikefactory,1
L5,0
HEAR,0
L3,0
3000scbot,0
JosuCor,0
Mae,-1.0
Kampung,0
Tiny,0
CFq,0
FreeQuesDoe,0
Nandaputrianwar,0
ratnasari14,0
cghbnnnmm,0
CFD,0
LOOSE,0
MiyoShop1stGiveAway,0
CFC,0
Yoda,0
MATOKISHISHI,0
tulis,0
18th,0
gimanaFairyKiseop9,0
Beeffood,0
Kerajaan,0
muerttah,0
httptcoGxJlaeaSoF,0
peux,0
EricSnailguin,0
ASjustbieb,0
weken,0
recataaateeeee,0
621,0
httptcoVf2AudEbaC,0
MAlkhaaldy,0
228oo,0
sweetgirls85,0
susandrliw,0
foreal,0
Asik,0
SZ51Jr,0
lera95,0
fir,-1.0
Abbott,0
His,0
Hit,0
PASDAP,0
fiz,-1.0
bringing,3.0
fix,0
nakutin,-1
terrist,0
Smiths,0
69kpp,0
SMILlNG,0
Micaaantvg,0
TekkroGalaxy,0
inai,0
Hih,0
wales,0
Hij,0
nandimita,0
Him,0
Karinsmiljo,0
Partai,0
hzlfrhna,1
aviento,0
gati,0
Wanita,0
vouchers,0
MIAbagaxLooseKaynonxKahliAbdu,0
eglenceli,0
nakedlove,0
adraudrey501,0
httptcoL4OBQFsX0j,0
Lianpertiwi,1
httptcoD6LzYpQ1su,1
Alot,1
nazisternas,0
MoteOracle,1
paraah,0
lebihbaik,0
paraan,0
welcome3,0
Cesarferreh,-1
TEAMYACK615,-1
httptco8kZVfvyuOI,0
httptcocVKQNzzNNG,0
Dmna,0
Vodacom,0
etmeyi,0
httptcoNtdfizsc6H,-1
Rumpiin,0
arrow,0
5MoreDays,-1
MsRenaRoyale,-1
httptcoTmI9dRH2do,-1
httptcoLeM2Tigey8,0
alejarte,0
kiper,0
windmill,0
yaokin,0
apakabaryah,0
httptcoSS01jFMq0g,0
httptco3cry05ceQn,0
owhniam,0
httptco2J4zd1aEEV,0
Selenators,0
allah,0
httptcoQPqucG2d35,0
NgaNgaDre,0
wednesday,0
391,0
mariasofia14,0
kowe,-1
iyaWRnurdiana,0
Doulton,0
syg,0
Quierp,0
398,-1
DSDS,0
WonKyuIndo,0
akbgamba,0
MossShanemoss,1
ReneeSoPopular,1
gakdictaingrid,0
golek,1
adapi,0
masok,0
161515,0
rodeo,1
Figured,0
Jiiiaahh,0
httptcoeKya7SnT65,0
goles,0
kkkkkkkk,0
persigas,-1
Egy,0
stamping,0
TENIA,0
httptcoIA4gstZ7oQ,0
MEDIA,0
39n,0
3000retweet,0
siquiera,-1
bakanm,0
angginoviana,0
sheet,-1
httptcoAdTYhxxkBv,0
gameplay,0
zzzzzz,0
Kritikan,0
Nigel,0
viedemerde,1
JKSAsiaPrince,0
llegar,-2.0
jamallik,1
WATCHES,0
genitnya,0
shortcutgirl,0
maxgilliam13,0
WATCHED,0
lestate,0
httptcoeBrB6wFoxT,0
itnooo,-1
kenhandriyanto,0
Degeneres,1
cassieleigh329,0
Gosok,0
Messed,0
uyudugum,0
Satrinrin,0
fuera,0
jj126aktf,0
Deicide,1
Kaji,0
kfc,0
ngeliatin,0
Kkkkkkkkk,0
yumeminemu,0
Selca,0
koopjes,0
oldu,0
h10a26,0
Groop1111,0
Factoria,0
Bday,1.0
LindseyCrain,-1
korting,0
httpstcoKwBgLWNARS,0
needed,1.0
master,0
Lkwimganteng,0
TetesanPena,0
KerlingGarcia,0
itsmmica,0
hiya,1
httptcoEUvHp3MCpX,0
genesis,0
Detailed,0
moekorian,0
vaxtlarnda,0
Patch,0
GMOs,0
ningenkaketerum,0
SoFabulousM,-1
tugs,0
responsabilit,0
Oracle,0
nevver,0
Jiaaah,0
GOIN,-1
Repair,0
DEUM,0
SPAM,-1.0
12301630,0
VTVcanal8,0
httptcoCoNFREij4E,1
linggo,2.0
lollipop1904,0
CRYING,-1
SG03,0
SPEED,0
httptcoXnwPd3zAOC,0
275,-1
animado,1
VampirTanya,0
httptcov2SsZEojYC,0
sgillespieSF,0
aqilahghani,0
httptcooN7HwtSZBx,0
zunduu,0
defendre,0
dikasih,0
diriTapi,0
HongkiXF,0
akwsyssss,0
dipasang,2.0
packgotta,0
BungaaLrs,0
CocaCola,0
robertolabe,0
Theo,0
Then,0
httptco4XWFU8jdeD,0
meziromcz3,0
NashMccoy,0
Britney,0
TRAVAILLER,0
olvides,-1.0
penasaran,0
Thee,0
Ngundi,0
Teekkr,0
compacin,-1
fodase,0
miethamita1,0
They,0
pastinya,0
GonchigsumlaaS,0
OskariSaari,0
Berpikirlah,0
NineRodriguezC,0
Seis,0
httptcoRXxtyl7p28,0
meninggalkan,0
salammu,0
PrinceKimikun,0
Zefaaku,0
demmysm,0
EeasyP,1
EYoung92s,0
PSarahAlifasai,0
mouth,-1.0
Pandora,0
usmileM4lik,0
YAAASSSS,1
digulung,1
DewiApratiwi,0
singer,1.0
ascooou,0
megansullivann1,-1
httptco7btBDOOoJJ,0
aishahbtmusa,0
Paragon,0
dtb,0
cumbia,0
Swervemankind47,0
samchikui,0
ollow,0
prevention,1
mikevdblfc,0
Yalnz,0
maju,0
httptcoKpAX8xPq0p,0
saying,2.0
condesa,0
httpstcof270f8RdZq,0
Yummy,0
Curly,0
OYXDistro,0
BintangL,0
madonna,0
locos,0
fathursamsura,0
HelloBee,0
axelleg,0
DjLarryLuv,1
httpstcoIqV96OXgx7,0
cpPIN25A1F244,0
Daryl,-1
OHSEHVN,0
httptcoqU1xyM15yW,0
Resources,0
laaaa,0
clicked,-1
1elizdoga,0
gemmadeavin,0
vicegandako,0
annenizi,0
httptco7EQuGuqoDB,0
Tian,0
AlFaqhihiyah,0
LIVE,0
MattClarke448,1
httptcohqRfkZyxgr,0
httptcox2ZPqN2qZj,0
Berry8951,0
rice,0
sisament,0
rica,0
plate,0
Mias,1
httptcoykG2MdnyxL,0
plata,-1.0
DoctorScholars,0
puchi,0
plato,0
pucho,0
stesso,0
inattchop,0
drrkrks,0
Burgundy,1
httptcoySEX7PksZz,0
venec,0
httptcoyTLnx2jzE5,0
ktm,0
Otakclar,0
Danced,1
pelan2,0
madeournight,0
Rip,0
comprar,0
compram,0
followdaibosyu,0
CandyBrenn,1
choigumay,0
thoKevinBey,0
httptcoZD5HmvRZWj,0
DhatGuhAmelia,0
Heres,0
sudahlah,0
Way2Wonderland,-1
responsibilitylove,1
Anderson,0
httptco6iJZ9WaJeA,0
TimBrownn,0
pakialam,0
kto,0
nolybegin,0
nerdesiniz,0
TinnyYoo,0
lots,8.0
Advances,0
irs,0
20si,0
carmelaloo08,1
iri,0
Ihhh,0
ainoooy,0
irn,-1
Ucill,0
LaurenGoodger,1
Advanced,0
RomanticMan23,0
littlewingsxx,0
haaaaaaaaaaaaaaaannnn,0
CNBjungshins,-1
httptcox1qlpARAlk,0
paints,0
naturn,0
httptcoMiZUE1WbPU,0
httptcoQc3PSdYth3,0
extent,1
monsterbianx,0
SqueakySays,0
AscreamoA,0
usersini,0
Aiwan,1
httptco386Qga7UDB,0
BNSJ2013,0
diarrea,0
TheWalkingDeZ,1
chellewelle,0
Laura,0
RizalDats,0
SierraBreeden,-1
teruskan,0
lookin,0
FACTOR,0
veel,0
pamhallo,0
janisu1014,0
PERSIB,0
dzularifin,0
eradicate,0
hyouuu,0
Apartment,0
RyochanTarochan,0
alsiep,0
dnyamda,0
himsisfobinus,0
nabung,0
niye,0
comfy,1
felicidad,-1.0
niya,3.0
wkwkbilahasibuan,0
blonde,2.0
puxar,0
niyh,0
httptcoGaWMdz3w0Q,0
myloverismalik,0
kembalim,0
fra,2.0
httptcodeUlibyNJ9,-1
Sitting,1.0
gtltgtlt,0
kyankyanGB,0
chayogeehlizzbriannagisellenatalie,1
httptcoSYk9depk82,0
fro,0
frn,0
frm,0
much,3.0
Jajajaj,0
httptcovUGLWmcsp2,1
esssihhh,0
akaikachan,0
NickTravae,0
Jajajaa,0
hsnewsbreak,0
tommoroe,-1
nrRT,0
spit,0
KMSEYE,0
SNorachman,0
chanelsick,0
obesi,0
textinfonaija,0
tunein,0
httptcomIqG6bIU8V,0
Takrasa,0
spin,0
cubittnganoppa,0
hndi,0
LindsayEarnest,1
carilah,0
cul,0
yrek,0
namcrotch,0
TDL,-1
84Alhwa,0
confiance,0
httptcogPCSJPcyGo,0
boule,0
httptco1xbYHasRKh,-1
IntnAnura,0
httptcoEjnMWG0MKx,0
cupidyooara,1
Call,0
httptcoc537b05PXn,0
Duydum,0
Rockgod,0
Crusaders,-1.0
JUEGOS,1
PWET,0
httpstcoS1Mmo3A901,0
unos,0
httptcoWpryvOzxoi,0
httptcocDR80rosqN,0
juegan,0
inisiatif,0
cleanwaterforall,1
Skye,1
patrykpisze,0
tavsiye,0
httptcoNzTrAnzUEA,0
meraju,0
AnnLiiilyyy,0
uleYOUTHFREE,0
5050,-1.0
insatiable,0
unoo,-1
ineeeeeet,0
memorial,0
Valley,0
pnut817,1
1106Miel,0
Invicta,2.0
httptcoV3c5Cl6NYA,0
split,-1.0
Jasmiiiine93,0
AKBww,0
httptco9aIfOF7rtm,0
xiedae,0
Imoneyyrentz,1
httptcoFKr5h3KN72,0
beOLLGmywish,0
Sonntagmorgens,0
Gianyar,0
Maybe,0
ShamsulFaeez,0
GodBibleChurch,0
Phi,1
kunilanak,0
antiyeye,0
cesarmillan,0
yuzden,0
graduations,-2.0
MCHammer,0
Preeett,0
iperalta90,0
kandosekai,0
jaymill7,0
Persib,0
Test4pass,0
TohoguZunda,0
VoidBurger,0
muaah,0
MinDht,0
vermekteyim,0
JamielR,0
muuuy,0
algum,0
algun,-1.0
akashirinn,0
y11pixies,0
EBK,0
jajajajajajajajajajajajajaja,0
Modus,0
TunAbrar,0
nomore,0
Table,0
httptcop5p9BZmVU3,0
oppars,0
MelissaKrueger4,1
luminoso,0
sokeep,1
Theyll,1
smd,0
AloOo2,0
Bana,0
melebu,0
Bsicasiento,0
ljzapata1992,0
preparando,0
ilivebythomas,0
9Nasrawi,0
httptconZ52Icf48V,0
airbag,-1
stne,0
httptcoyDmJtS1DYM,0
DuniaMENTION,0
Happy,0
hah,0
hai,0
bzkyk,0
hak,0
hal,0
ham,0
han,0
HIMCHAN,0
haa,0
hab,1.0
had,0
WiFanKris,0
haf,0
hag,0
100peryongyong,0
hay,-3.0
haz,0
pleasePleasePleasePleasePleaseJustPleaseFollow,0
httptcouu,0
WhatIsHappening,0
har,-1.0
has,0
hat,-1.0
hav,0
haw,0
TMTAmberJLiu,0
httptcop07QzH67Ne,0
CynthiaaDA,2.0
Yolunda,0
rocket,0
httptcojMYxSrLrcJ,0
cryingme,-2.0
Viendo,0
Libertins,0
httptcoCimyMAhyJf,0
Escape,1
toeypariinblue,0
AnonymousProdi,0
ohiya,0
Brenda,0
onestopfootball,1
gada,0
Framed,0
salenya,0
OmerOmerogluu,0
berbigt,0
Steven,0
ha2,0
okaythanks,0
6sJunior,0
IJuanQoo,0
PolOn,0
Socialistas,0
httptcoiYKMouyMyr,0
crowd,0
crowe,0
Estan,0
Literally,0
Watering,0
topping,0
httptcozalMGpjLps,1
4D,1
AlqaedaIsrael,0
Estar,0
Estas,0
httptcof9AZJlbWPp,0
Between,-1
yoroshiku,0
VARIT,0
chantier,0
TwitsDeMusica,-1
ohaaaaa,0
lindseybellee,-1
TerimakasihRT,0
Horanosaur,-1
tocaya,1
Mishras,0
bottom,0
httptcoi25ANEMej3,0
ramalana,0
awakeappy,0
seisyun4,0
khatcalma,0
naurah,0
hacia,0
Facebook,0
hatirliyorum,0
ingresa,0
sebroche,1
livetobetaj,0
palabrasdezorra,1
descendre,0
DJMikeyMikey24,0
standardchampion,0
Jaket,0
Himchanchan,0
Soekarno,0
cemni,0
Khloeevans7,0
Ptdr,0
kkkkkkkkkkkk,-1
gaterlaluhmmm,0
WorldOfKathNiel,0
Findoms,-1
httptcooAhXhFdWrA,0
itweetdpuxxyup,0
B980,0
hantar,1.0
kehendakNya,0
ader,0
enfournes,0
kurang,0
dnm,0
boulwareb7,0
firanggii,0
Static,0
httptcom710Oy9Wcb,0
httptcojQLzG87CEW,0
ilerine,0
adeh,0
httptcoe9nvj0sNlj,1
adek,0
mbl,0
ampiyonlua,0
mbo,0
mbk,0
mccannsclique,0
s3iles3iles3ile,0
mbf,-1.0
puputyuliana,0
mba,1.0
mbb,0
lieber,-1
erynsies,0
Aaron,0
Dengan,0
yangmereka,0
DomenechNatalia,-1
3aPz,0
httptcorM0ohvOcsk,0
wena,0
yukiotaki0805,0
Maulana,-1
Ends,1.0
tamo,0
tamb,0
tama,0
PWmissAmin91,0
takagiout,0
yuusukedisco,0
ARRAS,-1
kazenga25,1
Levels,0
GERMANY,0
xmirre,1
httptcoAxrKuf7pGR,1
greatness,1.0
hohohoho,0
tuk12,0
gerbang,0
Novaliches,0
budag,0
diuji,0
dradnanbinqaht,0
Muning,0
Schwule,0
bxer,0
budak,0
TenchoBlog,0
DurgaDorita,0
boohauso,-1
menghabiskan,0
verde,0
sm17348209,0
pagkagimikero,1
verdm,0
4DP10,0
Kepo,0
httptcoFUxHFXq0f3,0
dueo,-2.0
Jaya,0
peluk,0
anlamadm,0
County,0
Meron,0
httptcoex92CmJxqu,0
unanimous,0
GonsalvesMansion,0
2230,0
duet,0
Recent,0
dontforgetwhereyoucamefrom,0
dues,1
httptco8QLEziXIxb,0
BugungunlerdenTUGBABAK,0
passenger,-1
seorang,0
WeSagittarius,0
cananaaan,0
httptcomDG0vcURcf,0
xkB,0
minah,0
httptcoaLsiXyUL5V,0
incomodando,0
zondagochtend,0
Tindera,0
Seinfelds,0
kerusi,0
minat,-1.0
caralho,1.0
SmallTownJealousy,1
Perdon,0
salahabg,0
sponzorka,0
Cagub,0
wkwkRT,0
halaMadrid,0
httptcoHxWrBhu3oU,0
desesperantemente,0
pendalaman,0
NoLogic,0
wedok,0
misterheady,-1
MayRoma,0
ColorsDBACKS,0
nmk333,0
firdaanisa,0
encontrado,0
xsam29,0
Buon,0
BabyKyyXo,1
obat,0
httptco7KDh1lviEl,0
YOU100000,0
homebuyers,0
nannystacy507,0
obliger,0
roll,0
tenerla,-1
Bampooh,0
E,0
Operation,0
aulidagds,0
ayuchan1226,0
subtweet,0
Melbourne,0
kuproyampmasteng,0
good3,0
intent,0
Idk,0
EdoGeofany,0
Habielbiel,0
Idc,0
lillaqhu,0
jewelry,0
BasselAlzaro,0
mfer,-1
Segalanya,1
faktanya,0
httptcoExC6XpkYkD,0
httptcotwrZrOJnBX,0
mimpinya,0
SmartJepang,0
kimoyon,0
embrouilleelles,0
TVkaistakeissi,0
adityaresty,0
Nagoming,0
gowo,0
gown,0
ARKADASLARM,0
httptco8WI7hOW8J3,-1
brati,0
chain,0.0
httptcoFw033WNTGy,0
JAJAJAJAJ,0
entrevista,0
overYou,-1
mulalomaada,0
BELLO,0
montaa,0.0
F19,1
Siangggggggggggggggg,0
chair,0
Bye,0
httpstcouMuNf4llo1,0
osf,0
httpstcoeL7TZCsL1K,0
FarahArha,0
devitavalentine,0
Tourist,0
pell,0
FMephit,0
QUOTE,-1
httptcoQ3kVKLhko1,0
Astagfir,0
turusareta,0
rel,0
pIvanswivansw,0
Struggle,0
SilverNeo,0
macho,0
muLu,0
clulas,0
Prakrta,0
downloading,0
RevenirPlusFort,0
IamJewfro,0
jera,0
choice,0.0
BitchImTman,-1
minuto,-1
conectas,0
sparkly,1
stays,0.0
rozmawia,0
Gara2,0
exact,0
stayy,0
minute,1.0
httptcopIjlf8WqUTTMH,0
Tat,1
Tau,0
speed,0
CariitoSpiner,1
Tap,0
yzlerce,0
Tar,0
Tas,0
Holder,0
ItsClareBare,-1
Tax,0
Tay,0
BTOBYSJ95,0
luissantillan09,0
ChintyaAssyfa,0
Tae,0
JulianaDullard,-1
Tag,0
yokkk,0
pedidos,0
agentes,0
bajet,-1.0
Tan,0
Tah,0
Tai,0
TAPO,0
Tak,0
Hpitaux,0
ShinjiAyu,0
meadow,1
maldini,0
rec,0
RSCM,0
sennki,0
bewijst,0
workgtgtgt,0
scarycute,0
Ranch,0
shirts,1
JT,0
InfinityLyaR,0
nyuci,0
masaminnnn4,0
hahahafebrifadillah,0
Shendy,1
aiutatemi,0
BassetHounds123,0
miaaak10,0
corazon,0
Roll,0
wayward,-1
zlemisim,0
AMIGAS,0
GuaplaFlare,0
casse,0
Hbd,0
MuziLwazi,0
thitiezul,0
istiantisulung,0
Lopez,1.0
exxxxxn0832,0
Me,0
itasha,0
Ma,0
Terbuka,0
Pamplona,0
Isuk,0
Mo,0
alzarmi,0
Mi,0
ISANG,0
Mu,0
Mt,1
kenzatu,0
paragon,0
O,0
Ms,0
Mr,1.0
moneta,0
ChrissyGray10,0
My,0
ikehardiyanti,0
nenkD,0
cicifaa,0
ME,0
MD,0
Hallmark,-1
dierentuin,0
MA,0
MC,0
MB,0
MM,0
thequeenkonini,0
MO,0
Stepto,1
cette,1.0
MK,-3.0
MJ,1.0
MU,0
MT,0
MV,0
MP,0
MS,0
olabilir,0
MY,0
Cascada,0
REAL,0
Antes,0
boylet,0
130428,0
RETWEETERS3,0
yuuki0306yuuki,0
READ,0
fazkiapratama,0
130427,0
naadik,0
Kongamp039s,0
httptcozSnOY3qZpV,0
Enough,0
Le,0
Tanyainfinity,0
mmogo,0
sesuatu,0
utds,1
Quand,0
httptcori3NAhKsC1,0
instan,0
Antem,0
berjaya,0
BOOSTS,0
saattr,0
pondopo,0
ItsStefaScottRP,0
Especial,0
JODYBREEEZE1017,0
httptcosA5yowfJws,0
working,1.0
izchatwillernw,0
zaba98,0
Mercychy20,0
hyatt,0
httptcotQctjGgzQt,0
Lmdlmr,2.0
setulus,0
mummys,1
septiembre,0
httptcoePT6OOFj60,0
instigar,0
Sephora,0
2DAY,0
httptcok89jbgC8P2,0
CAYLEE,0
urutan,0
Those,1.0
gitmez,0
padlaan,0
kiziyla,0
iOSAndroid,0
JJx,-1
ridere,0
Wmcardinterdietplacecomampbu1,0
Nadiachill,0
goods,-1
ooooooq,0
IkramPerdana,0
Gagal,0
cuanto,0
tepkisini,0
Iywh,0
vlukas17,0
sevmedii,0
eksikk,0
gnah,0
Isnin,0
Glenn,0
spaniel,0
policejuniel,0
gunler,0
following,-1.0
RiverTeCopaElChiqueroBostero,0
controllingtime,0
pequeos,0
MhdAlHajri,0
KPop,0
httptco1ZQ8dqlNMi,0
babeshard,0
choijinwri,0
detik,0
AnchaAnca,0
Bijak,0
Bart,1
IniKalilah,0
naydarcega,0
bastante,0
ChompyeEsteban,0
MURICA,1
gafebesi,0
RehamALnumeiR,0
rakyatklau,0
colocar,-1
foreverland,0
BebasIndahEvaA,0
TuGranjaEnCasa,0
tosakomasumi,0
dihukum,0
UGGs,1
wwKimuraww,0
softtweet,-1
cuddlingsex,1
Kereen,0
atai,1
lmotion,0
httptcohyUp1y1lLc,0
lumineuse,0
bisi,0
Tiqah,1
STI,0
crossdarlyn,0
paulhodgkin,1
Febymelati,0
RealMichelleW,1
LsGeeDire,0
akeemmmererrr,0
httptcojP5h11daOi,0
atar,0
Kadirkaracaogll,0
Corporate,1
atau,0
ManUnitedNews,-1
inabmk,1
surfing,0
wildeaina,0
fahadalhurifi,0
nemu178,0
beliau,0
barugune,0
anlaml,0
anlamn,0
belian,1
swollen,-1.0
mange,0
GodDamItDezzy,0
Cargando,0
pulled,0
pantesan,0
nimatmohd,0
Wetter,0
wkwkdedewwii,-1
NurulNba,0
LIB,-1
dingin,0
httptcocOJokz931l,-1
years,1.0
yeahhhhh,1
SportSatu,0
sofina99,0
Hwnqmiyoung,0
httptcozwCZ3SJlmn,-1
Bereczki,0
servono,0
Binggung,0
tula,0
krmh,0
2000150002000httptcoDYFcRFOBn9,0
mumuvevyanaa,0
httptcoHC5A9Iqmv0,-1
beklemiyorum,0
tuli,0
Tschss,0
jik,0
faves,0
Mogadiscio,0
httptco8LlNDgfDiK,0
rusdalubis,0
HennemannM,-1
httptcoFQNQhyqD9F,0
yearI,0
httptco32B5GuseUJ,0
Janganlah,0
wwwGWo,0
anehanehKSRLYoungAS,0
trthaber,0
antisocializando,-1
Memory,0
Dulwich,0
ampx6afampx632ampx627ampx631ampx634ampx627ampx62a,0
ikemenlov,0
aprob,0
temen,0
beeeyuteeful,-1.0
keliling,0
temes,0
Caprilesganara,0
CesarAvaloss,1
saskiaadinda,0
thisismylife,-1
janetedavis,1
httptcoKX5abPZotd,0
deanabilahputri,0
shhh,0
tuesdaygianicole,0
sekaliii,1
tuhan,0
unidos,0
Yekanastriamanik,0
tuhaf,0
Croatiaamp039s,1
Hijau,0
3shyI,0
Seumordomo,0
LaQuieroMucho,0
0430yes,0
panasss,0
laurenjhutton,1
mosok,0
httptcoOw9i88TOnd,0
EscritosDeBaoPblico,1.0
Ipaplastik,0
aevie1010,0
SINGERSWEFORGOTABOUT,0
SYN,0
yamaharace,0
ayyy,0
Live,-2.0
saakin,0
amamos,0
sponsor,0
miii,0
YesungSJFacts,1
troll,0
iluu,0
Goedemorgen,0
bjgrouses,0
sidang,0
kerjain,0
Atencion,0
198434,0
seriously,0
OurPlanetTV,0
internet,1.0
keidysalasV,0
sjukt,0
jasmineUHlivia,0
hangoutwithyouro,1
httptcoMxPR2fRPAP,0
grosseira,-1
THANK,0
httptcovtl7CJqOKr,0
tienen,0
httptcoUWcnVpmKoo,0
BuzzNiallYear,0
Recital,3.0
Semalam,1
konfir,0
snooker,0
queijo,0
complicated,0
morfar,0
qlqr,0
byte,0
CEDZRICK,0
Performs,0
cmara,1
kitaaa,1
httptcoHa3ni5W7Zb,0
gordos,-2.0
insanlara,0
L4,0
retroton,0
PATRIAA2MesesDetuPartidaChavez,0
nerminesalem,0
calidad,0
SCHULZ,0
wristlet,0
Diosii,0
RTAhSpeakDoang,0
emotion,-1
httptcojOr6Z9EERY,0
maymaygoaway,0
AnnAlarcon,0
saving,1
ono,0
habiskan,1
KaritoRaigoza,-1
ona,0
voucherMAP100K,0
one,0.0
httptco9wsQaHgt1R,0
kaoru51244,0
falsos,0
despairhope,0
dejis,0
ons,0
ont,0
deeeek,0
Palos,0
Adeebs,0
Gusty,0
haberte,0
Monday,1.0
Sprinklers,0
BebaArado,0
sapsalsin,0
L8,0
magnifique,0
alahh,0
zuliana,-1
200meter,0
Shaddup,0
NolanGabriel,-1
cumpleaosMcChocolate,-1
NaokiTakahashi,0
deeeee,0
httptcoOpbaGIVpHB,0
wimpermihooo,0
Withers,-2.0
Snsdfunky,0
cerebro,0
bestmanif,1
Prambors,0
httptcopXoMnb0Gu8,0
panggilin,0
yaheeRT,0
Bombs,0
crappy,1
httptcoDjfBoiIHsa,0
History,0
priivonafrezh,0
detras,0
httptcolHUVjmfz3O,1
putrianiwinda,0
BrAsIL,0
Kbdhn,0
rehat,0
kumpulll,0
vicio,1
httptco5y4EChvyea,0
honeydance2,0
wawung,0
Abdisa,1
berbentuk,0
SJ4Ever1313,0
sessizliini,0
powerbreko,0
aceceececchhhh,0
opponent,1
BecauseImKobe,0
PictureSalsha,0
sinoritaAndini,0
paaudominguez,0
LQmmel,0
turned,2.0
DogOnCrack,0
Uturns,-1
deiik,0
ikasan7,0
decide,0
jago,1
zoa,0
httptcoCXRIKd6Sgr,0
terangBila,0
httptcoj61MKA3f0K,0
Alvinmikaa,-1
translate,1
Alicia,0
nalapha,0
zon,-1
zoo,0
Hala,0
vivaa,-1
zor,0
zou,0
Half,0
MarlianaMubin,0
humanas,-1
Hall,0
Halo,0
Laper,0
Wont,0
httptcodvVRHanWAz,0
Melihatmu,0
Subhanallah,0
opposite,0
semarang,0
buffet,0
whtevs,-1
decirte,-1.0
magalyparamore,0
ceboook,0
httptcoxOUeO2FBfq,0
Hago,-1
pirmi,0
0807Yuuri,0
httptco1LZ0z6GQMW,0
Terungatawhenua,1
Negeri,0
afergg,0
Chez,1
r0miK,0
isshoboy,0
